Gender,Age,Family members count,Current residence,Parents status,Guardian,Fathers education,Mothers education,Guardians monthly income,self_supporting_activity,monthly_income,gpa_software_eng_intro,gpa_formal_methods,gpa_req_eng,gpa_sda,gpa_spm,gpa_sqe,gpa_se_testing,gpa_se_design_patterns,gpa_sc,gpa_ict,gpa_pf,gpa_discrete,gpa_ppit,gpa_oop,gpa_dsa,gpa_se_concepts,gpa_coal,gpa_db,gpa_dip,gpa_algo,gpa_os,gpa_ccn,gpa_cg,gpa_numerical,gpa_webtech,gpa_hci,gpa_gamedev,gpa_automata,gpa_ids,gpa_mobiledev,gpa_ai,gpa_processor_assembly,gpa_compiler_construction,gpa_ml,gpa_infosec,gpa_software_proc_improv,gpa_cv,gpa_data_security,previous sgpa,matric percentage,school scholarship?,intermediate_background,intermediate_percentage,college scholarship?,nts_score,Program,reason_for_program_choice,interest_in_domain,program_satisfaction,current_semester,current_cgpa,uni_scholarship?,paying_fees_status,mode_of_study,subject_difficulty,subject_interest,certificates_or_diploma,library_visits_frequency,study_preference,borrow_books,online_lectures_usage,daily_study_hours,self_study_days,health_status,disability_status,daily_freetime,teacher_methodology_preference,time_with_family_friends,commute_time_to_university,physical_exercise_time,love_travelling,preferred_eating_places,participate_in_cocurriculars,group_study_preference,book_reading_interest,socializing_interest,preferred_spare_time_activities,time_in_spare_activities,family_relationship_quality,internet_access,learning_speed,familysupport_ineducation,graduation_risk_perception,Self-Discipline,Hard Working,Punctuality,Politeness,Team Player,Confidence,Responsible,importance_of_grades,Do you take nutritions.,Do you love sports?,Do you value and have confidence of your opinions?,sleep_time? (7-8 hours)],Do you do self-directed learning?,study burnout,semester success belief,weather impact on focus,study planning,task consistency,Pass/Fail,marks,Grades
1,19,5,2,1,1,5,3,14,10,1,4,3,4,8,8,8,9,9,9,5,3,2,9,3,6,9,9,5,9,9,9,0,9,9,9,8,9,9,2,9,9,9,8,9,9,9,8,7,2.6,90.0,1,3,70.0,1,70.0,1,23,4.0,4,5,2.6,0,3,0,3,3,1,4,1,1,0,0,11,3.0,0,1,3.0,7,3,1,4,1,3,7,3,4,138,1,2,0,2,0,1,2,2,2,0,0,0,0,1,4,0,0,3,0,2,0,2,0,2,Pass,80.83427,A-
0,19,3,2,2,0,5,3,11,10,1,5,8,3,8,8,8,9,9,9,4,5,0,9,4,2,9,9,8,9,9,9,8,9,9,9,8,9,9,1,9,9,9,8,9,9,9,8,7,2.8,89.0,1,1,83.0,1,72.0,1,23,5.0,5,5,2.5,0,3,0,3,3,2,4,1,3,2,8,4,4.0,0,5,3.0,1,6,1,5,1,4,5,4,2,0,8,3,0,1,0,4,2,3,2,1,2,2,3,4,4,2,0,2,2,2,2,0,2,2,Fail,67.58828,B+
1,23,6,2,2,0,5,8,11,43,0,4,4,0,8,8,8,9,9,9,6,6,4,9,6,0,9,9,3,9,9,9,9,9,9,9,8,9,9,1,9,9,9,8,9,9,9,8,7,2.4,92.17,1,1,70.0,1,72.0,1,11,4.0,4,5,2.67,0,3,1,5,4,1,3,1,1,0,0,4,4.0,0,6,1.0,4,3,2,5,1,4,0,3,0,138,2,2,0,2,0,4,2,2,2,0,2,2,2,1,4,0,2,0,2,0,0,1,0,2,Pass,92.9023,B
0,20,6,3,2,0,3,8,4,10,10,6,4,5,8,8,8,9,9,9,7,6,4,9,3,0,9,9,5,9,9,3,4,9,9,9,8,9,9,4,9,9,9,8,9,9,9,8,7,3.1,79.0,0,3,84.0,0,70.0,1,23,5.0,5,5,2.8,0,3,0,3,3,0,3,0,3,0,9,8,1.0,0,0,3.0,0,5,2,5,0,4,1,5,0,0,8,0,0,2,0,1,0,0,0,0,0,0,0,4,2,4,1,1,0,0,0,2,0,2,Pass,46.679,B-
1,21,4,2,2,0,9,3,5,40,4,3,4,5,8,8,8,9,9,9,5,5,5,9,4,3,9,9,9,9,9,0,4,9,9,9,8,9,9,9,9,9,9,8,9,9,9,8,7,3.13,1040.0,1,3,920.0,1,84.0,1,31,4.0,4,5,2.97,1,2,0,3,3,1,4,0,4,4,1,14,3.0,0,8,3.0,1,7,3,4,1,2,7,3,4,138,1,2,4,2,0,3,1,3,2,2,2,0,0,1,4,0,3,3,4,4,4,3,4,4,Pass,73.30367,B-
0,22,7,0,2,0,10,6,4,40,1,6,5,6,8,8,5,9,9,9,5,5,5,7,1,3,6,9,4,9,9,7,6,9,5,1,8,5,9,1,9,9,9,8,9,9,9,8,7,3.3,85.0,0,3,83.0,1,65.0,1,23,3.0,3,6,3.04,0,3,0,3,3,1,4,1,0,0,3,37,3.0,0,3,2.0,7,3,2,1,0,1,10,5,1,0,1,1,0,1,0,1,0,2,2,0,2,2,0,1,0,1,0,1,4,0,0,4,2,2,Pass,78.83832,D
1,21,6,0,2,0,10,8,5,10,10,6,5,5,8,8,8,9,9,9,4,3,6,9,6,1,9,9,6,9,9,4,2,9,9,9,8,9,9,8,9,9,9,8,9,9,9,8,7,3.4,88.0,1,1,75.0,0,60.0,1,29,5.0,4,5,3.05,0,0,0,2,4,2,2,1,0,2,1,48,4.0,0,1,1.0,7,0,3,4,1,3,10,4,2,11,0,0,2,2,0,1,2,1,2,1,2,2,2,1,1,2,2,0,4,4,4,4,4,2,Pass,62.72345,B
0,21,5,2,2,0,2,7,11,10,1,5,3,9,8,8,8,9,9,9,3,3,4,9,0,1,9,9,5,9,9,9,9,9,9,9,8,9,9,2,9,9,9,8,9,9,9,8,7,2.3,90.0,1,3,85.0,1,78.0,1,23,3.0,3,5,2.3,0,3,0,4,3,1,2,0,3,4,2,47,4.0,0,1,3.0,1,7,1,5,0,3,1,3,4,117,3,0,0,1,0,3,2,0,2,2,2,2,2,1,3,4,3,3,4,2,4,0,2,2,Pass,52.654003,B+
1,22,5,2,2,1,10,6,1,10,9,6,3,6,8,8,8,9,9,9,5,4,5,9,4,3,9,9,6,9,9,4,2,9,9,9,8,9,9,7,9,9,9,8,9,9,9,8,7,3.0,75.0,0,3,78.0,0,82.0,1,11,4.0,4,5,2.92,0,3,0,3,4,1,0,1,1,4,8,0,5.0,0,1,2.0,7,4,1,5,0,1,7,3,0,53,1,2,2,2,0,4,2,2,0,2,1,1,0,3,4,0,2,2,2,3,4,4,4,4,Pass,75.29385,A-
1,21,6,0,2,0,10,8,14,42,9,6,3,6,8,8,8,9,9,9,3,1,4,9,3,4,9,9,5,9,9,3,2,9,9,9,8,9,9,5,9,9,9,8,9,9,9,8,7,2.9,88.0,0,1,82.0,1,64.0,1,23,5.0,5,5,2.84,0,3,0,3,5,1,2,1,1,0,2,37,5.0,0,1,1.0,0,0,2,3,0,3,7,5,0,53,0,0,0,2,0,1,0,0,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,Pass,70.89831,B+
